xq2_bin,z_bin_phi,pt2_bin_phi,phi_content_sum,phi_bin_count,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,spec_content,error,_merge,diff(phiSum - spec),ratio(phiSum/spec)
2,6,11,69.0035,8,5,10,5.0,10.0,89.3148,19.3442,both,-20.311300000000003,0.7725875218888695
2,7,1,3746.83,8,6,0,6.0,0.0,3268.06,207.779,both,478.77,1.146499758266372
2,7,2,2226.8986,8,6,1,6.0,1.0,1930.35,129.342,both,296.5486000000001,1.153624265029658
2,7,3,1677.8925,8,6,2,6.0,2.0,1409.87,89.8355,both,268.02250000000004,1.1901044067892785
2,7,4,1236.201,8,6,3,6.0,3.0,1116.57,54.3922,both,119.63100000000009,1.1071415137429808
2,7,5,1975.7378,8,6,4,6.0,4.0,1719.27,55.8747,both,256.4678000000001,1.149172497629808
2,7,6,1449.0742,8,6,5,6.0,5.0,1233.15,77.2786,both,215.92419999999993,1.1750997040100555
2,7,7,956.8044,8,6,6,6.0,6.0,777.288,63.526,both,179.51639999999998,1.2309522339210177
2,7,8,570.4222,8,6,7,6.0,7.0,478.466,41.2553,both,91.95619999999997,1.1921896226691133
2,7,9,88.2876,8,6,8,6.0,8.0,109.976,20.0585,both,-21.6884,0.8027896995708155
2,7,10,0.0,8,6,9,6.0,9.0,0.0,0.0,both,0.0,
2,7,11,0.0,8,6,10,6.0,10.0,0.0,0.0,both,0.0,
2,8,1,512.2879,8,7,0,7.0,0.0,387.732,54.2317,both,124.55590000000001,1.3212422498014091
2,8,2,227.0225,8,7,1,7.0,1.0,209.995,40.2124,both,17.027500000000003,1.0810852639348556
2,8,3,127.7918,8,7,2,7.0,2.0,118.285,23.8924,both,9.506799999999998,1.0803719829226022
