# ix,iz,iPt,ratio_corr
16,3,1,0.0346764
16,3,2,0.049346
16,3,3,0.0444735
16,3,4,0.0429634
16,3,5,0.0455335
16,3,6,0.0448363
16,3,7,0.0386782
16,3,8,0.0304645
16,3,9,0.013365
16,3,10,0.00147668
16,3,11,0
16,4,1,0.0476768
16,4,2,0.0495874
16,4,3,0.0640272
16,4,4,0.0631463
16,4,5,0.0673897
16,4,6,0.0711462
16,4,7,0.0740167
16,4,8,0.0762146
16,4,9,0.0741235
16,4,10,0.0622032
16,4,11,0
16,5,1,0.0463386
16,5,2,0.095798
16,5,3,0.0818198
16,5,4,0.07779
16,5,5,0.0826172
16,5,6,0.0901283
16,5,7,0.100283
16,5,8,0.105393
16,5,9,0.0876066
16,5,10,0.0473897
16,5,11,0
16,6,1,0.097535
16,6,2,0.120361
16,6,3,0.100452
16,6,4,0.0896911
16,6,5,0.0915542
16,6,6,0.0925076
16,6,7,0.0962984
16,6,8,0.0855106
16,6,9,0.00515007
16,6,10,0
16,6,11,0
16,7,1,0.157547
16,7,2,0.121005
16,7,3,0.103716
16,7,4,0.0712518
16,7,5,0.0638428
16,7,6,0.0343978
16,7,7,0
16,7,8,0
16,7,9,0
16,7,10,0
16,7,11,0
16,8,1,0
16,8,2,0
16,8,3,0
16,8,4,0
16,8,5,0
16,8,6,0
