xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
9,10,6,11,8,4244.818752698278,179.53738977138278
9,10,7,1,8,38743.10759337722,713.3568511286968
9,10,7,2,8,33094.603536792565,689.0237140846414
9,10,7,3,8,27585.598552238906,657.0675572915848
9,10,7,4,8,23912.062697643272,589.3609191487528
9,10,7,5,8,35315.42374314261,710.7287519242276
9,10,7,6,8,25115.521573523136,541.9801084298933
9,10,7,7,8,16369.484850837562,413.98930754952147
9,10,7,8,8,12509.790807869274,346.017881826783
9,10,7,9,8,4032.602402425333,194.54942442870865
9,10,7,10,8,1440.061632784662,151.77269140060682
9,10,7,11,8,0.0,0.0
9,10,8,1,8,8976.094947688038,329.5706430571803
9,10,8,2,8,7161.491588674785,352.82249884360004
9,10,8,3,8,4369.745991450422,268.45640349053826
9,10,8,4,8,3186.09502019697,266.0643569077801
9,10,8,5,8,2704.6512184654925,245.86227001667913
9,10,8,6,8,2161.9961513790895,332.2232414043494
9,10,8,7,8,0.0,0.0
9,10,8,8,8,0.0,0.0
9,10,8,9,8,0.0,0.0
9,10,8,10,8,0.0,0.0
9,10,8,11,8,0.0,0.0
10,11,1,1,8,11343189.265576262,563103.7295546213
10,11,1,2,8,5713592.437912629,257133.79846143568
10,11,1,3,8,2870489.8451138567,113089.43008545095
10,11,1,4,8,1315470.4201219499,69570.46552969929
10,11,1,5,8,1365748.0435533335,124832.3349278162
10,11,1,6,8,0.0,0.0
10,11,1,7,8,0.0,0.0
10,11,1,8,8,0.0,0.0
10,11,1,9,8,0.0,0.0
10,11,1,10,8,0.0,0.0
10,11,1,11,8,0.0,0.0
10,11,2,1,8,1311955.0031954285,19226.777624019764
10,11,2,2,8,922756.8960338541,14397.424988972101
10,11,2,3,8,712100.0453241642,8078.594616365116
10,11,2,4,8,536463.8464274063,6866.8600865965445
10,11,2,5,8,653757.3676005861,8506.489534479724
10,11,2,6,8,345278.3996437485,6662.943226617408
10,11,2,7,8,191773.7997771965,6820.053448470383
10,11,2,8,8,55661.91695330926,9133.327869294848
10,11,2,9,8,0.0,0.0
10,11,2,10,8,0.0,0.0
10,11,2,11,8,0.0,0.0
10,11,3,1,8,516597.6658330652,6023.525347402737
10,11,3,2,8,407826.2069689375,4733.862577179002
