xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
5,6,5,5,8,100536.99139328583,2083.9728045014294
5,6,5,6,8,56788.25534066845,1454.030398020893
5,6,5,7,8,25801.039363526994,1028.134432582029
5,6,5,8,4,5722.923245235147,259.91178336525616
5,6,5,9,2,448.0588547431855,77.3139563257666
5,6,6,1,8,74102.64272183922,871.2782428279686
5,6,6,2,8,54088.239431298796,1170.2176307591915
5,6,6,3,8,40027.265437016125,1299.5676704310329
5,6,6,4,7,26230.95599256285,1025.1193826534902
5,6,6,5,8,32248.464783281634,1278.6874849613773
5,6,6,6,6,10209.371443378837,376.5256254895681
5,6,6,7,6,3116.7660521658067,198.74849918521076
5,6,7,1,8,11873.654164396678,299.33199772765585
5,6,7,2,7,7053.159236072205,373.44425099374286
5,6,7,3,3,1555.8567755350937,106.64238864414935
5,6,7,4,3,892.1452956736675,91.4425004651092
5,6,7,5,1,120.08623906855956,25.597186847015724
6,7,2,1,6,613218.6024692712,63555.69109020773
6,7,2,2,3,279704.5287041702,37626.35073489591
6,7,2,3,2,160960.95568319698,20781.52766613425
6,7,2,4,1,47474.813201064135,11399.738776913895
6,7,2,5,1,27618.99459045656,8103.4189696833355
6,7,3,1,8,300453.20898557553,8765.085226046815
6,7,3,2,8,250896.68708208366,10366.435979340473
6,7,3,3,6,144613.86629560016,6250.99876986656
6,7,3,4,6,111129.55163912138,5531.021761569854
6,7,3,5,5,127610.49195100894,8310.327717575428
6,7,3,6,4,28722.08140467102,1717.1082226017443
6,7,3,7,1,2288.918809632362,498.478166203838
6,7,4,1,8,168235.1400414997,2603.328159389328
6,7,4,2,8,125516.57621041739,2882.5941046977823
6,7,4,3,8,108521.70661457314,3281.9371111185424
6,7,4,4,7,64036.2158633814,4092.8845144069246
6,7,4,5,6,67268.63437083323,2318.535172525382
6,7,4,6,6,25722.78583931343,1516.4777398557471
6,7,4,7,1,620.0952831944031,114.78606207204524
6,7,5,1,8,90454.75184315472,1252.0292284950403
6,7,5,2,8,62871.46214701755,1389.3452907611713
6,7,5,3,8,42403.1912782157,1274.8528840828362
6,7,5,4,8,27808.119174080926,1090.481834783032
6,7,5,5,7,23054.63241834598,1649.5214071673258
6,7,5,6,3,1737.5782479761046,190.76498379927057
6,7,6,1,8,22136.705562082865,439.3827882760721
