xq2_center,xq2_bin,iy,z_bin,pt2_bin,z_label,pt2_label,rootfile,source,npoints,p0,p1,p2,chi2,ndf,status
2.000000,2,3,1,1,0.00–0.20,0.00–0.05,measData_times_truth_over_meas.root,file1,7,3424033.432,716784.7345,34663.0727,15.13006521,4,0
2.000000,2,3,1,1,0.00–0.20,0.00–0.05,measData_times_truth_over_meas.root,file2,7,3423797.517,716730.9337,34663.25392,15.1302147,4,0
2.000000,2,3,1,2,0.00–0.20,0.05–0.10,measData_times_truth_over_meas.root,file1,8,1285626.61,-77061.40422,-2969.057685,12.37867861,5,0
2.000000,2,3,1,2,0.00–0.20,0.05–0.10,measData_times_truth_over_meas.root,file2,8,1285423.96,-77046.50328,-2970.026815,12.37869575,5,0
2.000000,2,3,1,3,0.00–0.20,0.10–0.15,measData_times_truth_over_meas.root,file1,8,647436.6178,-68264.95846,-10116.0068,2.395030519,5,0
2.000000,2,3,1,3,0.00–0.20,0.10–0.15,measData_times_truth_over_meas.root,file2,8,647249.0713,-68247.34663,-10112.95385,2.395268114,5,0
2.000000,2,3,1,4,0.00–0.20,0.15–0.20,measData_times_truth_over_meas.root,file1,8,368221.0265,-53842.85102,50691.15555,7.184522267,5,0
2.000000,2,3,1,4,0.00–0.20,0.15–0.20,measData_times_truth_over_meas.root,file2,8,368038.0951,-53817.66936,50669.79021,7.183752498,5,0
2.000000,2,3,1,5,0.00–0.20,0.20–0.30,measData_times_truth_over_meas.root,file1,8,348134.1465,-64473.72864,16724.4442,5.482035598,5,0
2.000000,2,3,1,5,0.00–0.20,0.20–0.30,measData_times_truth_over_meas.root,file2,8,347771.209,-64408.79755,16709.90192,5.480257739,5,0
2.000000,2,3,2,1,0.20–0.30,0.00–0.05,measData_times_truth_over_meas.root,file1,6,263083.1584,55684.97443,-5883.805881,419.7080434,3,0
2.000000,2,3,2,1,0.20–0.30,0.00–0.05,measData_times_truth_over_meas.root,file2,6,263083.1584,55684.97443,-5883.805881,419.7080434,3,0
2.000000,2,3,2,2,0.20–0.30,0.05–0.10,measData_times_truth_over_meas.root,file1,8,196124.5866,3186.734575,11711.48034,59.99501066,5,0
2.000000,2,3,2,2,0.20–0.30,0.05–0.10,measData_times_truth_over_meas.root,file2,8,196124.5866,3186.734575,11711.48034,59.99501066,5,0
2.000000,2,3,2,3,0.20–0.30,0.10–0.15,measData_times_truth_over_meas.root,file1,8,145501.4927,-10141.03356,-3475.821495,19.57905075,5,0
2.000000,2,3,2,3,0.20–0.30,0.10–0.15,measData_times_truth_over_meas.root,file2,8,145501.4927,-10141.03356,-3475.821495,19.57905075,5,0
2.000000,2,3,2,4,0.20–0.30,0.15–0.20,measData_times_truth_over_meas.root,file1,8,112115.1507,-5287.152348,-1052.580339,17.3791248,5,0
2.000000,2,3,2,4,0.20–0.30,0.15–0.20,measData_times_truth_over_meas.root,file2,8,112115.1507,-5287.152348,-1052.580339,17.3791248,5,0
2.000000,2,3,2,5,0.20–0.30,0.20–0.30,measData_times_truth_over_meas.root,file1,8,136195.2887,-15644.19154,6230.481561,11.56131607,5,0
2.000000,2,3,2,5,0.20–0.30,0.20–0.30,measData_times_truth_over_meas.root,file2,8,136195.2887,-15644.19154,6230.481561,11.56131607,5,0
2.000000,2,3,2,6,0.20–0.30,0.30–0.40,measData_times_truth_over_meas.root,file1,8,75976.83067,-13410.69746,6416.504198,3.269595112,5,0
2.000000,2,3,2,6,0.20–0.30,0.30–0.40,measData_times_truth_over_meas.root,file2,8,75976.83067,-13410.69746,6416.504198,3.269595112,5,0
2.000000,2,3,2,7,0.20–0.30,0.40–0.50,measData_times_truth_over_meas.root,file1,8,44229.85736,-14036.31994,4946.593897,1.140717416,5,0
2.000000,2,3,2,7,0.20–0.30,0.40–0.50,measData_times_truth_over_meas.root,file2,8,44229.85736,-14036.31994,4946.593897,1.140717416,5,0
2.000000,2,3,2,8,0.20–0.30,0.50–0.65,measData_times_truth_over_meas.root,file1,8,33636.59091,-10132.66053,4831.868074,15.50230842,5,0
2.000000,2,3,2,8,0.20–0.30,0.50–0.65,measData_times_truth_over_meas.root,file2,8,33636.59091,-10132.66053,4831.868074,15.50230842,5,0
2.000000,2,3,3,1,0.30–0.40,0.00–0.05,measData_times_truth_over_meas.root,file1,8,103638.5999,-708.621057,4407.294858,25.70340443,5,0
2.000000,2,3,3,1,0.30–0.40,0.00–0.05,measData_times_truth_over_meas.root,file2,8,103638.5999,-708.621057,4407.294858,25.70340443,5,0
2.000000,2,3,3,2,0.30–0.40,0.05–0.10,measData_times_truth_over_meas.root,file1,6,83980.52239,-8997.643624,2493.358957,5.688503569,3,0
2.000000,2,3,3,2,0.30–0.40,0.05–0.10,measData_times_truth_over_meas.root,file2,6,83980.52239,-8997.643624,2493.358957,5.688503569,3,0
2.000000,2,3,3,3,0.30–0.40,0.10–0.15,measData_times_truth_over_meas.root,file1,8,71145.82421,292.0164688,4802.218515,8.466224437,5,0
2.000000,2,3,3,3,0.30–0.40,0.10–0.15,measData_times_truth_over_meas.root,file2,8,71145.82421,292.0164688,4802.218515,8.466224437,5,0
2.000000,2,3,3,4,0.30–0.40,0.15–0.20,measData_times_truth_over_meas.root,file1,8,55702.63513,-2534.41898,4404.553802,11.93144106,5,0
